,Date,Nox,NO2
0,1/1/2005,6446,2425
1,1/2/2005,11346,3548
2,1/3/2005,4002,2087
3,1/4/2004,3510,2025
4,1/4/2005,3884,2576
5,1/5/2004,2209,1754
6,1/6/2004,3297,1545
7,1/7/2004,3013,2409
8,1/8/2004,990,1146
9,1/9/2004,5733,2315
10,1/10/2004,4598,384
11,1/11/2004,7279,1517
12,1/12/2004,11783,2730
13,2/1/2005,7299,2832
14,2/2/2005,10306,3531
15,2/3/2005,7325,3243
16,2/4/2004,3334,2526
17,2/4/2005,3417,2404
18,2/5/2004,2028,1633
19,2/6/2004,1417,930
20,2/7/2004,3164,2558
21,2/8/2004,1447,1770
22,2/9/2004,-1238,-2302
23,2/10/2004,-4800,-4800
24,2/11/2004,11309,2151
25,2/12/2004,13833,2630
26,3/1/2005,8838,2994
27,3/2/2005,11519,4460
28,3/3/2005,8562,3470
29,3/4/2004,-1998,-2223
30,3/4/2005,4024,2667
31,3/5/2004,2926,1862
32,3/6/2004,-1500,-2137
33,3/7/2004,2042,1872
34,3/8/2004,2525,2082
35,3/9/2004,-4800,-4800
36,3/10/2004,-4800,-4800
37,3/11/2004,6888,1678
38,3/12/2004,12023,2598
39,4/1/2005,8666,3184
40,4/2/2005,7743,3958
41,4/3/2005,10044,3720
42,4/4/2004,-4800,-4800
43,4/4/2005,3950,1830
44,4/5/2004,2837,1743
45,4/6/2004,-4800,-4800
46,4/7/2004,1244,1356
47,4/8/2004,-3926,-3955
48,4/9/2004,-4800,-4800
49,4/10/2004,-4800,-4800
50,4/11/2004,9931,2139
51,4/12/2004,9474,2109
52,5/1/2005,10842,3202
53,5/2/2005,6099,3613
54,5/3/2005,5775,3297
55,5/4/2004,207,-489
56,5/5/2004,2350,1461
57,5/6/2004,1075,738
58,5/7/2004,3359,2499
59,5/8/2004,-1009,-975
60,5/9/2004,-4800,-4800
61,5/10/2004,-4800,-4800
62,5/11/2004,9121,2033
63,5/12/2004,4324,1678
64,6/1/2005,5227,2512
65,6/2/2005,3948,2865
66,6/3/2005,3725,2570
67,6/4/2004,2944,2009
68,6/5/2004,2596,1861
69,6/6/2004,1309,1247
70,6/7/2004,4240,2787
71,6/8/2004,2711,1851
72,6/9/2004,-4800,-4800
73,6/10/2004,-4800,-4800
74,6/11/2004,7378,1839
75,6/12/2004,7979,2206
76,7/1/2005,9374,2710
77,7/2/2005,4802,3278
78,7/3/2005,5599,3161
79,7/4/2004,2118,1761
80,7/5/2004,2771,2026
81,7/6/2004,3489,2145
82,7/7/2004,4480,2929
83,7/8/2004,1250,1370
84,7/9/2004,-2439,-3164
85,7/10/2004,-215,-2413
86,7/11/2004,3278,1356
87,7/12/2004,7854,2165
88,8/1/2005,10057,3064
89,8/2/2005,5372,3295
90,8/3/2005,9392,3891
91,8/4/2004,3352,2236
92,8/5/2004,-3972,-4002
93,8/6/2004,3386,2099
94,8/7/2004,3956,2769
95,8/8/2004,914,1087
96,8/9/2004,-1299,-2641
97,8/10/2004,7094,1662
98,8/11/2004,3108,489
99,8/12/2004,6134,1919
100,9/1/2005,5127,2391
101,9/2/2005,5361,3418
102,9/3/2005,9344,3377
103,9/4/2004,4029,2397
104,9/5/2004,-4800,-4800
105,9/6/2004,3574,2724
106,9/7/2004,2963,2256
107,9/8/2004,1247,1189
108,9/9/2004,7492,2930
109,9/10/2004,6420,1658
110,9/11/2004,-4800,-4800
111,9/12/2004,4611,1847
112,10/1/2005,8662,2646
113,10/2/2005,8269,3796
114,10/3/2004,792,653
115,10/3/2005,8324,2918
116,10/4/2004,2496,1885
117,10/5/2004,467,-201
118,10/6/2004,3833,2681
119,10/7/2004,1433,1553
120,10/8/2004,1666,1297
121,10/9/2004,6491,2654
122,10/10/2004,4349,1335
123,10/11/2004,6481,1760
124,10/12/2004,5985,2173
125,11/1/2005,9757,2818
126,11/2/2005,13779,4937
127,11/3/2004,3121,2097
128,11/3/2005,9103,3827
129,11/4/2004,1284,1363
130,11/5/2004,3838,2177
131,11/6/2004,3154,1786
132,11/7/2004,1266,1337
133,11/8/2004,1341,1021
134,11/9/2004,-4424,-4499
135,11/10/2004,6794,1450
136,11/11/2004,12292,3380
137,11/12/2004,7037,2574
138,12/1/2005,12659,3226
139,12/2/2005,13216,4756
140,12/3/2004,3422,2158
141,12/3/2005,5739,3121
142,12/4/2004,1271,1321
143,12/5/2004,3748,2105
144,12/6/2004,1803,1624
145,12/7/2004,3170,1883
146,12/8/2004,1294,1205
147,12/9/2004,-4800,-4800
148,12/10/2004,-1605,-2696
149,12/11/2004,6259,2427
150,12/12/2004,9363,2832
151,13/01/2005,9810,2742
152,13/02/2005,7287,3240
153,13/03/2004,4042,2534
154,13/03/2005,5793,2984
155,13/04/2004,3127,1961
156,13/05/2004,3334,2204
157,13/06/2004,952,1072
158,13/07/2004,4227,2317
159,13/08/2004,1119,1369
160,13/09/2004,3494,-380
161,13/10/2004,-3833,-4250
162,13/11/2004,6329,2499
163,13/12/2004,12944,3314
164,14/01/2005,11175,3052
165,14/02/2005,4989,2961
166,14/03/2004,3172,2339
167,14/03/2005,8681,3538
168,14/04/2004,-716,-1398
169,14/05/2004,2972,2148
170,14/06/2004,1651,1350
171,14/07/2004,4166,2608
172,14/08/2004,867,1053
173,14/09/2004,-4146,-4281
174,14/10/2004,-4800,-4800
175,14/11/2004,1975,1064
176,14/12/2004,13925,3310
177,15/01/2005,9596,3222
178,15/02/2005,5067,2864
179,15/03/2004,4748,2531
180,15/03/2005,8754,3532
181,15/04/2004,1917,158
182,15/05/2004,2478,1958
183,15/06/2004,2986,2193
184,15/07/2004,3339,2634
185,15/08/2004,573,863
186,15/09/2004,-792,-2574
