"","x"
"1","                 there is no way that i could describe my emotions for this movie  i m totally speechless  i haven t laughed  even cried  this much in marvel movie or even in any movie  i m fully on my emotion  there are so many tears of joy and loss  amazing story  the acting is outstanding  epic action  great cgi  the best storytelling ever told in a superhero movie  amazing performance  i love it more than 3000 happiness  sadness  pure joy  excitement    i m gonna miss this moment in my whole life because let s face it  it s been awhile movies can bring such a big enthusiasm like this it is such an experience you ll gonna remember it forever  people are clapping  laughing  crying  full of a state emotion  it s 3 hours long but it went by like a finger snapping by thanos  and now i m thinking i m actually in quantum realm because it felt like 5 seconds  even though you know where the story is gonna bring you because it s still a  superhero movie  but it left me speechless  it s not just a superhero movie  it s more than that   spoiler alert  even some characters that you didn t like before  you will love them in this movie  like captain marvel  i didn t like her before in her own movie but in endgame they showed how powerful  how strong and how capable she really is  and now i kinda love her  but marvel should really be careful of her line though  i didn t like some of her line like  i m the strongest  and  you didn t win because before you didn t have me  duh  also not gonna forget hawkeye  to be honest  in avengers i really didn t like hawkeye because he s just a  guy  with an arrow and just randomly showed up in any scene but actually he s character is so badass  everything that we need  what we want is here also i don t get it why some people can not accept that thor is fat or treat him like a joke  i mean  this movie might be trying to give us a message about no matter what  shape  are you  you can be a hero and save the world  to be honest  i like what they did to thor  that man is depressed and taking the most responsible after he missed the shot to kill thanos in infinity war  even though he already did killed him but it s not gonna bring back his people of asgard  also he s god of thunder for god sake  he could slap his stomach with thunder and got his abs back i m so happy too for captain america  finally he could do his dance with peggy and i didn t expected that we could see the fight between captain america with his own self  also when tony met his father really warm my heart  and we can see the  real life  jarvis   i didn t expected that too when the whole superhero arrived it is so epic  the whole person in theater are screaming and shocked  gives me a goosebumps and still left me speechless this movie is absolute perfection  the ending of this movie is we and the characters deserved  it gives a perfect balance for all these past 10 years  epic and perfect ending  i was not disappointed at all  this movie was completely emotional and visually stunning  now i get it why the russo brothers told us to do a marvel movie marathon before watching endgame because this movie had everything to accomplish what left behind before all of this ready or not  whatever it takes go watch it for yourself                                       4 207 out of 6 379 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"2","                 can t ignore the truth that this is a super hero film  while except the last several minute  other plots can attract any attention  can t even compare with avengers  infinity war  narrative thread and music disordered throughout 3 hour movie                                       16 out of 20 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"3","                 the first part of the movie is a sitcom  talking and dad s jokes  it almost    catches up with  friends   if only movie was released in 1999    the second part is even worse  it reassembles  back to the future  but it definitely does not catch up even to 1989  and there is this third part  explosion of    left wing ideology  you will instantly get a t cd4 lymphocytes drop and vomit with rainbows  it ends with  spoiler alert capitan america being now black  the cgi is great  i enjoyed it very much  but the best part of the movie was a trailer before  there is still hope in this modern world   bad boys  are still black and still as brilliant as in 2009  i m looking forward to watching them again                                       15 out of 19 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"4","                 the film begins with the aftereffects of the culling by bad guy thanos  that s where everything starts to go wrong  according to the story  half of all life disappears in the universe  i can t speak for the universe  but i can speak for earth when i say this is seriously overblown being gen x  i actually remember a time when the population of the planet was at 3 4 billion people  it was 1971  one of the big problems that faced us was    wait for it    overpopulation  still  with that many people we managed to send people to the moon  create things and still  somehow  survive  all that would happen would be a drastic reduction in real estate prices  a surplus of goods and the earth would get around four decades of time to stop the train wreck of climate change  in the avenger endgame  people prefer to mope and everyone has forgotten how to clean things instead  the avengers get weepy  they decide to  fix  things through time travel  this is  believe it or not  the highlight of the film  once they accomplish their  time heist  the punching begins  then the punching continues  then it s followed by more punching  more avengers join in the punching  much cgi nonsense follows  capitan america gets a scrape on his face  the only part of him that seems susceptible to damage  everyone carries the magic glove around while  yes  more punching follows finally  when they run out of punches  iron man snaps his fingers and it all stops  tears are shed and the viewer is left asking why this mess couldn t take about two hours less than it did  overall  i give it a seven for the time travel  take away three for the endless punch fest and two more for the fact that the whole thing is stupid absurd  it s a great film to watch on a plane where you can skip through most of it                                       15 out of 19 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"5","                 i feel the same as most ppl in the reviews  time travel plot  professor hulk  fat emotional thor  killing the best villan off in the first 20 mins  strange girl power moment  plugging future marvel films boxsets  it s like got season 8 all over again  second time is a much better watch  the expectation is gone which really helps  it s not bad  not infinity war 2 however                                       15 out of 19 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"6","                 the whole thing is just a disaster  the very premise  that thanos thinks getting rid of half of the living things in the universe  not half the human or half the sentient beings  but half the cows   half the chickens   half the space creatures too  is just to dumb to handle  a five year old could tell you that s a stupid plan  and yet we re supposed to believe a titan can t see the flaw in it   i d say the single bright spot here is steve rogers s backside  truly  america s ass                                        17 out of 22 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"7","                 burn you scorsese blurays for another marvellian mass production    ummm    product is here  let s get some cgi going  so happy we do not understand even the basics of the human psyche  let s make sure no one does  let us judge everyone for we are truly better  let s keep that pc flag flying high  let s not see anything that it real  let s polish the world  we all hate real movies  alpa chino truly stands for booty sweat  thank you so much                                       17 out of 22 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"8","                 after avengers infinity war  we waited for the avengers endgame  we wondered how the story would go on  how our heroes would turn back  what would be the end of thanos  many theories related to this have been put forward  avengers endgame was undoubtedly the most anticipated film of recent years  normally  the higher the expectation  the higher the probability of disappointment  but this is not the case for endgame  whatever you re expecting  you find much more in the film  this means that the biggest concern about the film has disappeared on the other hand  another comparison comes up  is endgame more successful than infinity war  we can comfortably say it avengers infinity war is just the beginning of the story  endgame was the finale of the story  so we shouldn t think of these two films as two separate stories  there is only one story divided into two parts avengers endgame is  above all  a great homage to the ten year history of the marvel cinematic universe  the story highlights the original avengers team  iron man  captain america  thor  hulk  black widow and hawkeye are at the center of events  no character comes in front of them  of course there are many characters that play an important role in the story outside the original avengers team  everyone s concern was that captain marvel  who was included in the marvel world  overshadowed other heroes  we can say that this certainly did not happen  what is important in this struggle is not how strong you are  but how good you are  this comes to the fore in all areas  it gives good message about being a hero and a family of course  avengers endgame has some critical aspects  for example  is the three hour period necessary in terms of the story  it can be discussed  the head of the story moves much slower than the rest  it also drags the heroes into an emotional predicament  then the tempo is rising and the heavy scenes we are watching are getting more meaningful  the last 45 minutes of the movie is fully action packed  but the last 45 minutes goes so fast that you don t even realize it  action and battle scenes are really successful  there is not even a slight distress about visual effects  there are also slight logic errors in the film  but in general the story is so successful that these details become meaningless and insignificant after a certain point lastly  avengers endgame doesn t have a movie end scene  because after the film s final  there is no need for another scene  the marvel legend stan lee appears with a small stage  but this is the last surprise scene in the marvel cinematic universe  moreover  there is no clue about marvel s future  this makes us wonder more about spider man  far from home  10 10                                      1 927 out of 3 341 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"9","                 for a while  the hype for this movie was built up because it was intended to be the culmination of all 22 marvel cinematic universe films  however  taking a look at it now  all i see is that they were lazy with the writing and went with the most predictable storyline possible and used time travel as an excuse to replay their greatest hits  it didn t feel like an original story whatsoever  there are great movies being made with actual heart and soul and i am deeply saddened to say that avengers  endgame is not one of them  it lacks originality and whatever originality there is is simply the writers pandering to the fans  eg  captain america being able to lift mjolnir   the entire movie also felt as if they expected the audience to have seen every single marvel movie before it  what of those who haven t  i seriously don t understand how this movie became the highest grossing film of all time  and now they are campaigning for it to get an oscar       i have to be honest when i say that it does not have my vote  i grew up with the marvel cinematic universe and these characters meant so much to me and a lot of people  they brought people together and this movie only makes them look like a joke  especially iron man  black widow  thor  and hulk  the russos thought they were being funny by making thor into santa claus  well  if they were going in that direction  they might as well have sent him to the north pole and have him use the bifrost to send presents to kids every christmas    more efficient than using a sleigh with 9 reindeers    no elves needed  proven in thor  the dark world which they keep trying to remind us happened   as for the hulk  he was even more useless in this film than in the previous film  i don t know what they were thinking  when did shrek get a phd in physics    and thanos at the beginning was just a rip off of two face from the dark knight  a movie that  need i remind you  did win an oscar  might as well have nebula walk casually out in a nurse costume as the avengers facility was blown to kingdom come  and don t even get me started on black widow s death     they basically just rehashed gamora s death from infinity war  like  did they even get ross marquand to come back as red skull or did they just use archived footage  black widow was a character we as marvel fans grew to love and relate to because she was damaged  she had demons  she as a character that we as fans who have our own struggles could relate to  and she deserved a better death than that  she didn t even get a proper funeral     that just makes me so mad        and then iron man  the godfather of the mcu    they shouldn t have done that to rdj  in the film  he starts out in space like he did in the first trailer for the film and then in the actual film  it s only true that he will die in space for  like  two minutes  that is  until  surprise  surprise  captain social justice warrior comes to the rescue  i mean  she can fly through space and shoot plasma beams but she can t even hold out on her own against thanos without his mirror image kitchen knife    even wanda maximoff gave him a literal run for his money and when she lifted up thanos  she didn t look like she was struggling at all  she was all  please keep all arms and legs straight and enjoy the ride cause you gonna die for killing my red tornado rip off boyfriend   that final battle has its cringeworthy moments  like that all star ladies team up but i ve seen grannies walking into a book club meeting look more intimidating than them  i mean  what the hell was mantis there for  was she gonna be their cheerleader  if so  where were her pom poms  ohhhhhh  the actress s name is pom   klementeiff  and was that supposed to be funny  kevin    then there was the funeral scene  with everyone acting like the president had died or something  i mean  i bet you drax didn t even remember who it was that died to begin with and was probably asking himself why everyone was so sad while aunt may was getting happy s number  probably when they started dating   and nick fury saw the funeral and he was all  well  i m done with this planet  i m gonna ask carol about that new hairdo cause it s not doing her any favors  while carol was all  i rescued him from space for this     nebula was probably even wondering who to play paper soccer with and wanda was probably wondering whether or not she had to stay in her room  then you have the old man rogers debacle with bucky and sam all like  oh  yeah  you invented time travel  that s cool  we re just gonna pretend like that s normal and all  and bucky thinking  well  looks like i m the sidekick now   plus  what about all the stuff about the infinity stones and branched timelines that the ancient one was babbling on about  did everything she said suddenly not matter because it was captain america  it feels like they only brought in familiar faces because they thought it would look cool in the final battle  the way this movie went down  you would think that the final battle was the only thing that the russos directed  and the way they opened the film was just so random you didn t know if it was just another sneak peek or not  i mean  of all avengers  why start with hawkeye     i get that they wanted to show the scope of the impact that thanos had with his snap but to start with hawkeye     they should have left that scene in infinity war and opened the movie with carol arriving on earth or something  there is so much to point out about this movie that it is just exhausting  it feels like another attempt by hollywood and disney to make a cash grab and let everyone know that big brother  mickey  is watching and controls all  not too difficult to imagine an army of mickey mouses marching and saluting dear leader  bob iger                                        31 out of 44 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
"10","                 i like the way all the plots come together to please the marvel nerds  but geez it s boring  it reminded me of star wars 2  or was it 3   just loads and loads of abysmal cgi  smashing  punch  zapping  lots of creatures  lots of people running around  i watched it over 3 nights  it was that shallow  unlike some films you can t stop  this made me doze of  they must ve spent the budget on the cast and left none for story or cgi  some of the characters were so forgetful i don t even know who they are  who s the guy that looks like jesus  who s the lady that has red glowing hands  i would look on imdb  but the cast is so big i can t be bothered                                       31 out of 44 found this helpful                                                       was this review helpful   sign in to vote                                                   permalink                              "
